App,Category,Rating,Reviews,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver,Size in MB
Resume / CV,BUSINESS,3.6,125,10000,Free,0.0,Everyone,Business,28-12-2015,2.0,2.3.3 and up,5.0
VisualCV Resume Builder,BUSINESS,4.6,2555,100000,Free,0.0,Everyone,Business,02-06-2017,2.5.0,4.4 and up,16.0
Resume Maker / CV creator & Templates,TOOLS,4.2,54,5000,Free,0.0,Everyone,Tools,15-04-2018,1.0.6,4.0.3 and up,22.0
Resume Builder - Curriculum Vitae & Resume Maker,BUSINESS,4.0,12,5000,Free,0.0,Everyone,Business,07-06-2018,1.9,4.0.3 and up,8.1
The CW TV app,FAMILY,3.2,24,5000,Free,0.0,Everyone,Entertainment,28-07-2018,1.1,3.2 and up,4.8
CW TV,NEWS_AND_MAGAZINES,1.7,367,50000,Free,0.0,Everyone,News & Magazines,02-03-2018,1.7,4.0 and up,6.1
The CW TN app 2018,FAMILY,2.2,54,10000,Free,0.0,Everyone,Entertainment,30-04-2018,1.0,3.2 and up,4.3
Archie Comics,COMICS,3.8,5084,100000,Free,0.0,Everyone,Comics,19-06-2018,2.2.0,4.3 and up,6.2
2 Amateur ham radio CW Morse code practice keys TX,COMMUNICATION,4.8,6,100,Paid,1.49,Everyone,Communication,05-03-2018,1.0.9,1.6 and up,3.5
Cartoon Wars: Blade,GAME,4.4,165656,5000000,Free,0.0,Teen,Arcade,07-02-2018,1.1.0,2.3 and up,38.0
FANDOM: Arrow and The Flash,FAMILY,4.5,3935,100000,Free,0.0,Mature 17+,Entertainment,07-06-2018,2.9.8,4.4 and up,9.5
CW Beacon for Ham Radio,COMMUNICATION,4.8,10,100,Paid,1.49,Everyone,Communication,22-01-2015,KM,1.6 and up,0.50390625
IZ2UUF Morse Koch CW,COMMUNICATION,4.6,649,50000,Free,0.0,Everyone,Communication,08-08-2013,1.0.013,2.1 and up,0.8173828125
Morse Decoder for Ham Radio,COMMUNICATION,3.7,166,5000,Paid,4.99,Everyone,Communication,14-03-2017,1.52,2.3 and up,2.0
C W Browser,COMMUNICATION,4.4,14,100,Free,0.0,Everyone,Communication,28-10-2017,1.0,4.0 and up,17.0
Canon CameraWindow,PHOTOGRAPHY,3.5,12204,1000000,Free,0.0,Everyone,Photography,14-03-2017,1.5.2.21,2.3.3 and up,6.8
Saiyan Of CW,FAMILY,3.8,5,500,Free,0.0,Everyone,Role Playing,31-07-2018,2.0.10,4.0.3 and up,1.1
CW Studio ®,COMMUNICATION,3.8,9,100,Paid,0.99,Everyone,Communication,19-05-2015,1.2,2.3.3 and up,0.76171875
20WPM Amateur ham radio Koch CW Morse code trainer,COMMUNICATION,4.3,12,100,Paid,1.49,Everyone,Communication,22-05-2018,3.0.4,2.1 and up,3.7
Morse Trainer for Ham Radio,COMMUNICATION,4.6,265,10000,Paid,2.99,Everyone,Communication,06-01-2018,2.28,2.3 and up,2.6
The Church at CW,LIFESTYLE,4.5,2,100,Free,0.0,Teen,Lifestyle,25-06-2018,3.8.0,4.1 and up,7.8
Morse Machine for Ham Radio,COMMUNICATION,4.8,341,5000,Paid,0.99,Everyone,Communication,20-02-2015,iu4,2.0 and up,9.6
Morse Player,FAMILY,5.0,12,100,Paid,1.99,Everyone,Education,23-01-2017,2.1.1,3.0 and up,2.4
My CW,TOOLS,3.0,1,100,Free,0.0,Everyone,Tools,27-10-2016,2.35.1,4.1 and up,55.0
30WPM Amateur ham radio Koch CW Morse code trainer,FAMILY,5.0,1,10,Paid,1.49,Everyone,Education,18-05-2018,2.0.2,2.1 and up,3.7
DC All Access,FAMILY,4.4,12639,500000,Free,0.0,Teen,Entertainment,17-10-2017,3.5,4.1 and up,96.0
Koch Morse Trainer Pro,COMMUNICATION,4.6,94,1000,Paid,2.49,Everyone,Communication,14-02-2015,2.1.1,2.2 and up,1.1
Morse Code Reader,COMMUNICATION,3.9,1436,100000,Free,0.0,Everyone,Communication,26-08-2013,1.0,1.6 and up,0.01953125
CW Nuclear,BOOKS_AND_REFERENCE,3.3,15,1000,Free,0.0,Everyone,Books & Reference,17-11-2017,1.2,4.0 and up,12.0
CW Deposit,BUSINESS,3.0,4,1000,Free,0.0,Everyone,Business,06-02-2014,2.1.5,2.1 and up,0.486328125
Hallmark Channel Everywhere,FAMILY,4.2,6784,500000,Free,0.0,Everyone,Entertainment,30-08-2017,2.3.0,4.4 and up,13.0
Morse Player Free,FAMILY,4.2,268,50000,Free,0.0,Everyone,Education,23-01-2017,2.1.1,3.0 and up,4.2
News 8 San Diego,NEWS_AND_MAGAZINES,4.2,1137,50000,Free,0.0,Everyone,News & Magazines,23-07-2018,5.5.0,4.3 and up,11.0
Learn Morse Code - G0HYN Learn Morse,COMMUNICATION,4.0,27,5000,Free,0.0,Everyone,Communication,08-05-2018,5.0,2.2 and up,0.5859375
SYFY,FAMILY,3.2,3069,500000,Free,0.0,Teen,Entertainment,24-05-2018,3.3.1.41,4.4 and up,18.0
Morse Notifier Free,TOOLS,4.6,79,1000,Free,0.0,Everyone,Tools,08-11-2017,2.9.9,4.0.3 and up,3.0
AMC,FAMILY,3.2,20843,1000000,Free,0.0,Teen,Entertainment,02-08-2018,3.3.85 (2),4.4 and up,14.0
Cartoon Wars 3,FAMILY,4.1,137674,5000000,Free,0.0,Teen,Role Playing,04-07-2018,2.0.2,2.3 and up,72.0
Oracle CX Cloud Mobile,BUSINESS,4.4,48,5000,Free,0.0,Everyone,Business,07-07-2018,11.13.18.05.07.03,4.4 and up,54.0
CX-10WiFi,FAMILY,4.0,1419,100000,Free,0.0,Everyone,Casual,25-10-2017,2.5_16,4.0 and up,12.0
CX-OF,FAMILY,4.2,18,1000,Free,0.0,Everyone,Entertainment,31-01-2018,7.2.1,4.3 and up,37.0
cx-32wifi,FAMILY,4.1,62,10000,Free,0.0,Everyone,Entertainment,14-11-2015,1.4,2.2 and up,6.5
CX-17WIFI,FAMILY,4.3,49,10000,Free,0.0,Everyone,Entertainment,21-03-2018,2.3,4.3 and up,6.6
Cathay Pacific,TRAVEL_AND_LOCAL,3.3,4069,1000000,Free,0.0,Everyone,Travel & Local,25-07-2018,6.6.1,4.3 and up,50.0
Cx File Explorer,TOOLS,4.7,175,10000,Free,0.0,Everyone,Tools,28-07-2018,1.0.7,5.0 and up,4.3
cx-33wifi,FAMILY,4.4,63,10000,Free,0.0,Everyone,Entertainment,14-11-2015,1.4,2.2 and up,7.6
CX-WiFi720P,FAMILY,3.1,47,10000,Free,0.0,Everyone,Entertainment,14-11-2015,2.0,2.2 and up,5.5
CX-60,FAMILY,3.1,19,1000,Free,0.0,Everyone,Casual,09-05-2017,1.6,2.3 and up,94.0
ACTIVEON CX & CX GOLD,VIDEO_PLAYERS,3.3,439,50000,Free,0.0,Everyone,Video Players & Editors,04-03-2016,0.7.9,4.0 and up,35.0
CX North America,BUSINESS,3.9,10,500,Free,0.0,Everyone,Business,14-03-2018,1.2,4.0 and up,55.0
CX-10DS,FAMILY,3.4,12,1000,Free,0.0,Everyone,Casual,15-09-2017,1.5_6,4.0 and up,11.0
CX-37,FAMILY,3.9,13,1000,Free,0.0,Everyone,Casual,30-05-2016,1.3_4,3.0 and up,12.0
Avaya CX,BUSINESS,4.4,21,1000,Free,0.0,Everyone,Business,25-07-2018,v6.7.14,5.0 and up,21.0
TI-Nspire CX Calculator Manual,FAMILY,3.9,11,500,Paid,4.99,Everyone,Education,21-07-2018,1.3.0,4.1 and up,27.0
CX_WiFiUFO,SPORTS,3.7,818,100000,Free,0.0,Everyone,Sports,08-06-2016,4.4_23,4.0 and up,5.3
CX watcher,FAMILY,4.5,4,500,Free,0.0,Everyone,Casual,21-06-2018,1.5_6,4.1 and up,30.0
Theme For Techno Camon CX,PERSONALIZATION,4.7,42,5000,Free,0.0,Everyone,Personalization,10-05-2017,1.0.,4.0 and up,10.0
Theme for Tecno Camon CX / C8,LIFESTYLE,4.6,147,10000,Free,0.0,Everyone,Lifestyle,02-05-2017,1.0.1,4.0 and up,9.8
Oración CX,LIFESTYLE,5.0,103,5000,Free,0.0,Everyone,Lifestyle,12-09-2017,5.1.10,4.1 and up,3.8
CX-40,FAMILY,3.0,2,100,Free,0.0,Everyone,Entertainment,14-12-2017,3.0,4.0 and up,33.0
Ring,COMMUNICATION,3.9,517,10000,Free,0.0,Everyone,Communication,06-08-2018,20180805,4.4 and up,35.0
cx advance call blocker,PERSONALIZATION,5.0,3,50,Free,0.0,Everyone,Personalization,09-04-2018,1.0,4.0 and up,3.4
CX Ram Booster,TOOLS,3.9,12,500,Free,0.0,Everyone,Tools,02-06-2017,1.0,2.2 and up,2.5
CXmodel-ufo,FAMILY,3.8,19,1000,Free,0.0,Everyone,Entertainment,19-01-2017,2.1,2.2 and up,12.0
Secret Codes For Android,TOOLS,3.6,6060,500000,Free,0.0,Everyone,Tools,04-02-2016,2.0,2.1 and up,0.578125
Absolute RC Heli Simulator,SPORTS,3.9,654,10000,Paid,4.99,Everyone,Sports,20-12-2017,3.29,4.1 and up,50.0
WiFi FPV,FAMILY,3.8,316,100000,Free,0.0,Everyone,Entertainment,01-06-2017,1.8,2.2 and up,19.0
go41cx,FAMILY,4.8,171,1000,Paid,10.0,Everyone,Education,18-10-2016,1.7.0,2.2 and up,1.0
Freecell CY,GAME,4.0,387,50000,Free,0.0,Everyone,Card,16-04-2011,1.3.3,1.6 and up,1.1
Cytus II,GAME,4.7,16851,100000,Paid,1.99,Everyone 10+,Music,03-08-2018,1.5.0,4.4 and up,81.0
Cy-Reader,FAMILY,4.8,17,100,Free,0.0,Everyone,Education,03-08-2018,1.7,4.2 and up,15.0
Cy-Fair FCU Mobile Banking,FINANCE,4.7,439,5000,Free,0.0,Everyone,Finance,30-01-2018,5.7.1.0,5.0 and up,13.0
Cytus,GAME,4.7,541732,5000000,Free,0.0,Everyone,Music,09-02-2018,10.0.10,2.3 and up,20.0
Cy-Ranch,NEWS_AND_MAGAZINES,4.5,27,500,Free,0.0,Everyone,News & Magazines,06-05-2018,7.5.0,4.1 and up,7.1
Recycling Cy,LIFESTYLE,4.0,47,1000,Free,0.0,Everyone,Lifestyle,02-08-2017,2.0,3.2 and up,4.5
CY.SEND Online Top Up,FINANCE,3.2,191,10000,Free,0.0,Everyone,Finance,25-01-2018,4.5.6,4.0 and up,10.0
Alpha Bank CY,FINANCE,4.7,39,1000,Free,0.0,Everyone,Finance,20-03-2018,1.11,4.3 and up,20.0
Cy Messenger,COMMUNICATION,4.5,4,100,Free,0.0,Everyone,Communication,30-08-2014,1.3.0,2.3.3 and up,8.1
Igitabo cy'Indirimbo,FAMILY,4.5,93,50000,Free,0.0,Everyone,Entertainment,05-02-2018,INDIRIMBO V.2014.002,1.6 and up,1.6
Doctor Finder CY,MEDICAL,4.9,57,1000,Free,0.0,Everyone,Medical,11-11-2015,1.7,3.0 and up,6.1
Eshopcy.com.cy,SHOPPING,4.2,182,5000,Free,0.0,Everyone,Shopping,03-08-2018,1.3,2.2 and up,4.9
Cy-Fair VFD EMS Protocols,MEDICAL,5.0,2,100,Free,0.0,Everyone 10+,Medical,21-09-2017,1.8.3,4.1 and up,20.0
Cy-Fair Christian Church,LIFESTYLE,5.0,2,100,Free,0.0,Everyone,Lifestyle,03-08-2017,24.8.1,4.1 and up,9.3
Shadowverse CCG,GAME,4.2,47340,1000000,Free,0.0,Teen,Card,30-07-2018,2.2.15,4.1 and up,61.0
CY Digital Net,SHOPPING,4.7,3,500,Free,0.0,Everyone,Shopping,01-08-2017,2.0.0,4.0 and up,5.8
Cymath - Math Problem Solver,FAMILY,4.5,10159,1000000,Free,0.0,Everyone,Education,13-04-2018,2.17,4.1 and up,6.4
Rewards,FINANCE,3.8,57,5000,Free,0.0,Everyone,Finance,15-12-2017,4.1,2.3 and up,4.0
Army of Heroes,FAMILY,4.5,85015,1000000,Free,0.0,Everyone 10+,Strategy,01-08-2018,1.03.06,4.0 and up,46.0
Math Solver,FAMILY,4.3,2250,100000,Free,0.0,Everyone,Education,21-11-2017,1.2,4.1 and up,30.0
Cyprus Bus Companion,MAPS_AND_NAVIGATION,3.9,112,10000,Free,0.0,Everyone,Maps & Navigation,26-12-2013,1.3,2.2 and up,1.4
Cyprus Police,SOCIAL,4.2,226,10000,Free,0.0,Everyone 10+,Social,31-01-2018,1.122.250.1421,2.2 and up,15.0
foody Cyprus - online ordering,SHOPPING,4.5,214,10000,Free,0.0,Everyone,Shopping,27-02-2018,2.92,4.0.3 and up,1.8
Death Dragon Knights RPG,FAMILY,4.1,11179,1000000,Free,0.0,Teen,Role Playing,16-09-2016,2.7,2.3 and up,19.0
Bank Of Cyprus,FINANCE,4.1,1514,100000,Free,0.0,Everyone,Finance,14-02-2018,1.1,4.1 and up,12.0
Map of Cyprus offline,TRAVEL_AND_LOCAL,4.6,470,10000,Free,0.0,Everyone,Travel & Local,12-03-2018,3.9,2.3 and up,21.0
McDelivery Cyprus,FOOD_AND_DRINK,3.3,60,10000,Free,0.0,Everyone,Food & Drink,14-05-2018,3.1.46 (CY02),4.3 and up,25.0
CZ-USA,LIFESTYLE,4.5,11,1000,Free,0.0,Everyone,Lifestyle,01-03-2016,1.0.2,4.0.3 and up,3.4
CZ File Manager,TOOLS,2.2,876,1000000,Free,0.0,Everyone,Tools,06-08-2018,3.2.3,4.2 and up,8.7
Security Camera CZ,HOUSE_AND_HOME,4.4,137,10000,Free,0.0,Everyone,House & Home,17-07-2018,1.1.10,4.1 and up,19.0
Šmelina .cz inzeráty inzerce,SHOPPING,3.9,117,10000,Free,0.0,Everyone,Shopping,13-05-2018,1.3,4.0 and up,9.8
Alzashop.com,SHOPPING,4.5,32014,500000,Free,0.0,Everyone,Shopping,03-08-2018,Varies with device,Varies with device,18.0
KFC CZ,LIFESTYLE,2.8,1189,100000,Free,0.0,Everyone,Lifestyle,27-06-2018,5.1.0,4.0.3 and up,18.0
Skylink Live TV CZ,FAMILY,3.3,2802,100000,Free,0.0,Teen,Entertainment,11-07-2018,5.0,4.3 and up,15.0
Online TV CZ/SK PRO,VIDEO_PLAYERS,3.1,167,1000,Paid,0.99,Everyone,Video Players & Editors,21-06-2018,3.3.2,4.0.3 and up,2.0
Rande.cz,SOCIAL,3.2,398,50000,Free,0.0,Mature 17+,Social,03-12-2014,1.0.1,2.3.3 and up,2.2
Breweries (CZ/SK),LIFESTYLE,4.4,1740,50000,Free,0.0,Teen,Lifestyle,27-07-2017,3.1.0,4.1 and up,4.4
reality.cz,HOUSE_AND_HOME,4.1,1372,50000,Free,0.0,Everyone,House & Home,15-02-2018,2.9.0,4.1 and up,5.4
CZ-Help,BOOKS_AND_REFERENCE,5.0,2,5,Free,0.0,Everyone,Books & Reference,13-07-2018,0.1,4.4 and up,1.4
CZ-Cyberon Voice Commander,TOOLS,3.8,131,1000,Paid,5.99,Everyone,Tools,07-03-2017,3.2.17030601,2.2 and up,3.3
HTC Sense Input - CZ,TOOLS,4.3,87,10000,Free,0.0,Everyone,Tools,09-11-2015,1.0.612933,5.0 and up,7.3
WebCams,WEATHER,4.6,3963,100000,Free,0.0,Everyone,Weather,17-07-2018,5.2.11,4.2 and up,23.0
Wallpaper.cz,PHOTOGRAPHY,4.9,7,100,Free,0.0,Everyone,Photography,11-07-2015,1.2.0,3.0 and up,2.2
CZ Kompas,TOOLS,5.0,2,10,Free,0.0,Everyone,Tools,09-07-2018,1.1,4.0 and up,3.5
MYTO CZ,MAPS_AND_NAVIGATION,2.9,30,5000,Free,0.0,Everyone,Maps & Navigation,17-02-2016,1.2,4.1 and up,4.8
PLAYzone.cz,FAMILY,4.4,14,500,Free,0.0,Everyone,Entertainment,07-11-2017,2.1.3,4.1 and up,7.3
Tools & Mi Band,HEALTH_AND_FITNESS,4.4,15753,100000,Paid,3.49,Everyone,Health & Fitness,26-07-2018,3.7.3,4.3 and up,13.0
TeeTime.cz,SPORTS,4.6,1641,10000,Free,0.0,Everyone,Sports,02-08-2018,1.18.34,4.0 and up,6.2
What is my IP address,TOOLS,4.5,4228,500000,Free,0.0,Everyone,Tools,02-07-2018,2.95,4.0 and up,0.640625
Windguru Lite,WEATHER,4.0,9307,1000000,Free,0.0,Everyone,Weather,09-01-2018,2.0.8,4.4 and up,5.0
Da Fit,SPORTS,3.5,1151,10000,Free,0.0,Everyone,Sports,23-07-2018,v1.0.0-195-gb96d9f2,4.4 and up,8.3
Dan the Man: Action Platformer,GAME,4.8,528550,10000000,Free,0.0,Teen,Arcade,26-07-2018,1.2.6,4.1 and up,73.0
Ghost Detector,FAMILY,3.5,35337,5000000,Free,0.0,Teen,Entertainment,25-05-2018,1.7.28,4.0 and up,7.4
Master for Minecraft(Pocket Edition)-Mod Launcher,TOOLS,4.6,2674051,50000000,Free,0.0,Everyone,Tools,06-08-2018,2.1.69,4.0.3 and up,26.0
King of Math,FAMILY,4.4,766,10000,Paid,2.99,Everyone,Education;Education,22-05-2018,1.0.11,2.2 and up,14.0
Translate: text & voice translator,TOOLS,4.3,122010,5000000,Free,0.0,Everyone,Tools,14-07-2018,Translator 10.9.2,4.0.3 and up,7.3
The Zueira's Voice,TOOLS,4.7,136540,1000000,Free,0.0,Everyone,Tools,10-07-2018,4.75,4.0.3 and up,3.1
Battery Calibration,TOOLS,4.4,134412,5000000,Free,0.0,Everyone,Tools,27-07-2018,3.0.5,4.4 and up,11.0
Thuglife Video Maker,FAMILY,3.5,38824,1000000,Free,0.0,Mature 17+,Entertainment,21-01-2018,2.4.1,5.0 and up,12.0
MadLipz,FAMILY,4.6,171017,10000000,Free,0.0,Teen,Entertainment,22-07-2018,2.2.2,4.4 and up,13.0
Soccer FC,SPORTS,3.9,6289,1000000,Free,0.0,Everyone,Sports,21-07-2016,1.2,2.3 and up,33.0
Geometry Dash SubZero,GAME,4.6,260527,10000000,Free,0.0,Everyone,Arcade,21-12-2017,1.00,4.0 and up,49.0
Escaping the Prison,FAMILY,4.2,419375,10000000,Free,0.0,Everyone 10+,Casual,21-06-2016,1.2.2,2.3 and up,31.0
Quiz TRUE or FALSE,GAME,4.6,2464,50000,Free,0.0,Everyone,Trivia,13-02-2018,1.1,4.1 and up,34.0
Glam Doll Salon - Chic Fashion,FAMILY,4.0,93898,10000000,Free,0.0,Everyone,Casual,26-05-2017,1.10,4.1 and up,44.0
Siren Ringtones,PERSONALIZATION,4.2,42190,5000000,Free,0.0,Teen,Personalization,08-07-2018,Varies with device,Varies with device,11.0
Peppa Pig: Party Time,FAMILY,3.8,52,10000,Paid,2.99,Everyone,Educational;Pretend Play,08-08-2017,1.2.1,2.3 and up,55.0
The Visitor,GAME,4.1,39895,5000000,Free,0.0,Mature 17+,Adventure,02-01-2018,1.2.3,4.1 and up,25.0
Just Dance Now,GAME,4.2,794058,10000000,Free,0.0,Everyone,Music,12-06-2018,2.3.0,4.4 and up,56.0
DB Navigator,MAPS_AND_NAVIGATION,4.0,119685,10000000,Free,0.0,Everyone,Maps & Navigation,02-07-2018,18.06.p03.02,4.0.3 and up,20.0
SQLite DB Reader,TOOLS,3.6,301,50000,Free,0.0,Everyone,Tools,28-11-2017,1.2.9,4.0 and up,2.3
DB Browser,TOOLS,3.3,236,50000,Free,0.0,Everyone,Tools,20-09-2011,1.6,2.1 and up,0.2158203125
Sound Meter,TOOLS,4.7,88993,10000000,Free,0.0,Everyone,Tools,10-06-2018,3.2.6,2.3 and up,1.5
db.Mobil App,LIBRARIES_AND_DEMO,4.5,23,5000,Free,0.0,Everyone,Libraries & Demo,11-07-2018,3.4.5,3.0 and up,31.0
DB Streckenagent,MAPS_AND_NAVIGATION,3.9,4569,500000,Free,0.0,Everyone,Maps & Navigation,22-12-2017,2.1.10 (49),4.0 and up,7.5
dB: Sound Meter Pro,TOOLS,4.3,31,5000,Free,0.0,Everyone,Tools,12-12-2016,1.0,4.0.3 and up,0.22265625
dB Sound Level Meter,TOOLS,3.9,203,10000,Free,0.0,Everyone,Tools,03-03-2017,1.08,3.0 and up,2.3
DB Sound Meter: Measure Noise Level- Decibel Meter,TOOLS,4.3,824,10000,Free,0.0,Everyone,Tools,13-12-2017,1.0.1,4.1 and up,2.8
ACCDB MDB DB Manager Pro - Editor for MS Access,PRODUCTIVITY,3.1,19,500,Paid,8.99,Everyone,Productivity,03-11-2016,1.0.8,4.0 and up,4.5
Scale Models DB,TOOLS,4.4,9,50,Paid,2.99,Everyone,Tools,03-05-2018,0.6.2,4.3 and up,33.0
DB Train Simulator,FAMILY,3.7,6514,500000,Free,0.0,Everyone,Simulation,23-05-2018,1.6.2,3.0 and up,72.0
DB Tools,FAMILY,4.6,37,1000,Free,0.0,Everyone,Education,17-06-2014,1.9,2.2 and up,3.3
dB Meter - measure sound & noise level in Decibel,TOOLS,4.6,154,10000,Free,0.0,Everyone,Tools,26-07-2018,1.1,4.4 and up,6.6
DB LINK RGB,TOOLS,2.7,7,500,Free,0.0,Everyone,Tools,19-06-2017,1.0.2,4.4 and up,5.2
"10,000 Quotes DB (Premium)",BOOKS_AND_REFERENCE,4.1,70,500,Paid,0.99,Everyone,Books & Reference,30-08-2013,1.3,2.1 and up,3.5
Guide for DB Xenoverse,BOOKS_AND_REFERENCE,4.2,459,10000,Free,0.0,Everyone,Books & Reference,01-10-2016,1.2,4.0 and up,11.0
DB Transport,MAPS_AND_NAVIGATION,1.9,179,10000,Free,0.0,Everyone,Maps & Navigation,13-03-2018,3.05,4.1 and up,10.0
DB Stay Connected,BUSINESS,4.6,17,1000,Free,0.0,Everyone,Business,08-12-2017,1.4,4.0 and up,9.4
Guide for DB Xenoverse 2,BOOKS_AND_REFERENCE,4.4,121,10000,Free,0.0,Everyone,Books & Reference,23-12-2016,1.1.2,4.1 and up,8.7
DB Customer Connect,BUSINESS,4.2,100,10000,Free,0.0,Everyone,Business,21-07-2018,2.0.0,4.1 and up,6.3
Patron DB,TOOLS,3.9,64,5000,Free,0.0,Everyone,Tools,01-06-2017,1.24,4.4 and up,4.1
DB Event App,SOCIAL,2.4,37,5000,Free,0.0,Teen,Social,25-06-2017,1.0,4.1 and up,37.0
DB HOME,LIFESTYLE,5.0,5,100,Free,0.0,Everyone,Lifestyle,31-08-2017,1.0.1,4.0 and up,3.2
Bowers & Wilkins DB Subwoofers,TOOLS,3.9,21,10000,Free,0.0,Everyone,Tools,19-01-2018,1.2.0.27,5.0 and up,11.0
DB Busradar NRW,MAPS_AND_NAVIGATION,3.7,78,10000,Free,0.0,Everyone,Maps & Navigation,12-04-2017,1.0.2,2.2 and up,3.0
DB Pickles,BUSINESS,5.0,5,100,Free,0.0,Everyone,Business,20-03-2018,2.0.2,4.1 and up,14.0
DB for Fallout Shelter,FAMILY,4.0,3323,100000,Free,0.0,Everyone,Simulation,29-03-2018,1.9,4.0 and up,47.0
LC-DB,PHOTOGRAPHY,3.0,1,10,Paid,3.49,Everyone,Photography,20-10-2017,1.0,4.2 and up,2.5
dB Sound Meter,TOOLS,4.1,29,5000,Free,0.0,Everyone,Tools,25-04-2016,1.2,4.0.3 and up,2.3
DB for Hustle Castle,FAMILY,4.8,21,1000,Free,0.0,Everyone,Role Playing,04-07-2018,1.1,4.1 and up,49.0
DB Ultra Saiyan Battle,GAME,4.5,33,1000,Free,0.0,Everyone 10+,Action,25-07-2018,1.3.7,2.3 and up,44.0
Preferences Manager and SQLite DB Viewer,TOOLS,3.5,13,1000,Free,0.0,Everyone,Tools,18-07-2017,1.01,4.0 and up,3.0
SW-DB,TOOLS,4.5,954,10000,Free,0.0,Teen,Tools,11-07-2016,0.4.1,4.1 and up,7.6
DC Legends: Battle for Justice,FAMILY,4.5,355613,10000000,Free,0.0,Teen,Role Playing,02-08-2018,1.21.2,4.4 and up,59.0
Injustice 2,GAME,4.3,504765,5000000,Free,0.0,Teen,Action,30-07-2018,2.4.1,4.4 and up,36.0
Injustice: Gods Among Us,GAME,4.4,2440877,10000000,Free,0.0,Teen,Action,14-06-2018,2.21,4.0 and up,32.0
FANDOM for: DC,FAMILY,4.4,6715,500000,Free,0.0,Mature 17+,Entertainment,20-07-2018,2.9.8.1,4.4 and up,9.5
LEGO Batman: DC Super Heroes,FAMILY,4.2,2557,50000,Paid,4.99,Everyone 10+,Adventure;Action & Adventure,09-05-2016,Varies with device,4.0.3 and up,5.8
Ultimate DC Challenge,GAME,4.5,937,10000,Free,0.0,Everyone,Trivia,19-10-2017,2.14.5e,4.0.3 and up,35.0
LEGO® DC Mighty Micros,FAMILY,4.3,139545,10000000,Free,0.0,Everyone,Racing;Action & Adventure,30-01-2018,1.6.1326,4.1 and up,63.0
Justice League Action Run,GAME,4.3,22333,1000000,Free,0.0,Everyone 10+,Action,07-08-2018,2.01,4.3 and up,9.7
Marvel and DC Wallpapers,PERSONALIZATION,4.2,249,10000,Free,0.0,Everyone,Personalization,07-07-2018,4.0,4.1 and up,91.0
DC Comics Amino,SOCIAL,4.9,117,1000,Free,0.0,Teen,Social,13-07-2018,1.8.19106,4.0.3 and up,63.0
Quiz DC,GAME,1.4,33,1000,Free,0.0,Everyone,Trivia,25-12-2017,1.10,4.1 and up,3.1
Batman: Gotham’s Most Wanted!,FAMILY,4.0,16190,1000000,Free,0.0,Everyone,Action;Action & Adventure,24-04-2018,2.1.1,4.0 and up,88.0
"Superheroes, Marvel, DC, Comics, TV, Movies News",COMICS,5.0,34,5000,Free,0.0,Everyone,Comics,31-07-2018,1.0.5,5.0 and up,12.0
DC Universe Quiz,GAME,4.3,11,500,Free,0.0,Everyone,Trivia,22-05-2018,3.2.7z,4.0.3 and up,23.0
DC HSEMA,BOOKS_AND_REFERENCE,3.8,38,5000,Free,0.0,Everyone,Books & Reference,18-06-2018,4.0,4.4 and up,7.2
DC Universe Online Map,TOOLS,4.1,1186,50000,Free,0.0,Unrated,Tools,27-02-2012,1.3,2.3.3 and up,6.4
DC Public Library,BOOKS_AND_REFERENCE,4.2,20,1000,Free,0.0,Everyone,Books & Reference,08-06-2015,4.6.1,1.6 and up,3.4
Vote 4 DC,TOOLS,4.1,46,1000,Free,0.0,Everyone,Tools,21-09-2016,4.0.6,4.0.3 and up,6.1
Villains vs Superheroes,FAMILY,4.3,128,10000,Free,0.0,Everyone,Puzzle,12-09-2017,3.3.3z,4.0.3 and up,22.0
DC Rider,MAPS_AND_NAVIGATION,3.6,258,50000,Free,0.0,Everyone,Maps & Navigation,24-12-2017,2.1,4.0 and up,6.9
Power Rangers: Legacy Wars,GAME,4.3,264755,10000000,Free,0.0,Teen,Action,17-07-2018,2.2.1,4.0 and up,91.0
MARVEL Future Fight,FAMILY,4.6,2354042,50000000,Free,0.0,Everyone 10+,Role Playing,03-07-2018,4.2.0,4.0.3 and up,72.0
DC Metro Transit - Free,TRAVEL_AND_LOCAL,4.4,6895,500000,Free,0.0,Everyone,Travel & Local,15-05-2018,5.11.3.1,4.1 and up,10.0
DC N COMPANY ENTERTAINMENT RADIO!,FAMILY,5.0,22,100,Free,0.0,Mature 17+,Entertainment,02-11-2017,1.4,4.4 and up,2.2
Results for DC Lottery,FAMILY,4.4,160,5000,Free,0.0,Everyone,Entertainment,11-03-2017,5.1,4.1 and up,8.5
FOX 5 DC,NEWS_AND_MAGAZINES,4.5,1440,100000,Free,0.0,Everyone,News & Magazines,29-03-2018,1.3.35.0,4.0 and up,12.0
Driver Permit Test Prep DC DMV Driver's License Ed,FAMILY,4.7,78,5000,Free,0.0,Everyone,Education,12-10-2017,2.9.0,4.1 and up,11.0
DC-014,PHOTOGRAPHY,5.0,3,500,Free,0.0,Everyone,Photography,14-06-2018,1.0.3,4.1 and up,16.0
DC Metro,MAPS_AND_NAVIGATION,3.4,59,10000,Free,0.0,Everyone,Maps & Navigation,26-01-2015,1.0,1.5 and up,1.3
